id	peixe	nutriente	tempo	fito
1	C	0	1	15.98721023
2	C	0	1	11.99040767
3	C	0	1	20.7833733
4	C	0	1	31.17505995
5	C	0	1	19.18465228
6	O	0	1	10.39168665
7	O	0	1	4.79616307
8	O	0	1	8.792965627
9	O	0	1	10.39168665
10	O	0	1	3.197442046
11	Z	0	1	11.19104716
12	Z	0	1	11.99040767
13	Z	0	1	12.78976819
14	Z	0	1	5.595523581
15	Z	0	1	8.792965627
16	C	N	1	8.792965627
17	C	N	1	21.58273381
18	C	N	1	12.78976819
19	C	N	1	11.19104716
20	C	N	1	4.79616307
21	O	N	1	11.19104716
22	O	N	1	20.7833733
23	O	N	1	16.78657074
24	O	N	1	14.38848921
25	O	N	1	10.39168665
26	Z	N	1	15.18784972
27	Z	N	1	15.98721023
28	Z	N	1	15.18784972
29	Z	N	1	23.18145484
30	Z	N	1	14.38848921
1	C	0	2	15.41623844
2	C	0	2	13.18944844
3	C	0	2	23.98081535
4	C	0	2	27.17825739
5	C	0	2	17.12915382
6	O	0	2	22.71866717
7	O	0	2	33.97282174
8	O	0	2	7.194244604
9	O	0	2	9.992006395
10	O	0	2	33.57314149
11	Z	0	2	97.69961808
12	Z	0	2	50.95923261
13	Z	0	2	7.194244604
14	Z	0	2	39.56834532
15	Z	0	2	57.55395683
16	C	N	2	29.11956149
17	C	N	2	41.10996917
18	C	N	2	22.26789997
19	C	N	2	52.75779376
20	C	N	2	89.92805755
21	O	N	2	75.9392486
22	O	N	2	32.37410072
23	O	N	2	47.9616307
24	O	N	2	67.14628297
25	O	N	2	19.6206671
26	Z	N	2	109.2459366
27	Z	N	2	57.55395683
28	Z	N	2	41.10996917
29	Z	N	2	64.74820144
30	Z	N	2	74.34052758
1	C	0	3	9.684560044
2	C	0	3	14.10636197
3	C	0	3	47.9616307
4	C	0	3	6.994404476
5	C	0	3	5.275779376
6	O	0	3	27.40664611
7	O	0	3	32.18477849
8	O	0	3	17.38609113
9	O	0	3	44.69151951
10	O	0	3	125.8992806
11	Z	0	3	86.93045564
12	Z	0	3	68.67233486
13	Z	0	3	64.44844125
14	Z	0	3	119.9040767
15	Z	0	3	147.4820144
16	C	N	3	8.992805755
17	C	N	3	10.09718541
18	C	N	3	10.49160671
19	C	N	3	18.73501199
20	C	N	3	7.708119219
21	O	N	3	25.82549345
22	O	N	3	20.89756766
23	O	N	3	16.18705036
24	O	N	3	11.99040767
25	O	N	3	22.38209432
26	Z	N	3	56.75459632
27	Z	N	3	64.31218661
28	Z	N	3	75.21255723
29	Z	N	3	52.45284292
30	Z	N	3	13.53203152
1	C	0	4	9.684560044
2	C	0	4	7.10542677
3	C	0	4	9.223390518
4	C	0	4	5.679666793
5	C	0	4	20.38369305
6	O	0	4	11.28508958
7	O	0	4	33.30668798
8	O	0	4	18.53063004
9	O	0	4	19.98401279
10	O	0	4	3.996802558
11	Z	0	4	65.94724221
12	Z	0	4	117.5059952
13	Z	0	4	83.93285372
14	Z	0	4	86.93045564
15	Z	0	4	23.48121503
16	C	N	4	16.48681055
17	C	N	4	11.99040767
18	C	N	4	10.79136691
19	C	N	4	47.105173
20	C	N	4	33.57314149
21	O	N	4	71.94244604
22	O	N	4	9.421034601
23	O	N	4	26.68832676
24	O	N	4	30.97521982
25	O	N	4	17.98561151
26	Z	N	4	164.4398767
27	Z	N	4	90.59419131
28	Z	N	4	100.9192646
29	Z	N	4	201.4388489
30	Z	N	4	17.98561151
1	C	0	5	55.95523581
2	C	0	5	16.78657074
3	C	0	5	64.18394696
4	C	0	5	14.38848921
5	C	0	5	31.77458034
6	O	0	5	7.494004796
7	O	0	5	58.35331735
8	O	0	5	1.844678104
9	O	0	5	91.92645883
10	O	0	5	55.34034311
11	Z	0	5	81.53477218
12	Z	0	5	24.78017586
13	Z	0	5	32.37410072
14	Z	0	5	52.75779376
15	Z	0	5	57.55395683
16	C	N	5	18.22541966
17	C	N	5	27.17825739
18	C	N	5	20.98321343
19	C	N	5	37.86444529
20	C	N	5	41.50525733
21	O	N	5	103.117506
22	O	N	5	27.97761791
23	O	N	5	35.17186251
24	O	N	5	43.16546763
25	O	N	5	35.97122302
26	Z	N	5	95.92326139
27	Z	N	5	106.7146283
28	Z	N	5	152.2781775
29	Z	N	5	130.6954436
30	Z	N	5	191.8465228
1	C	0	6	23.99680256
2	C	0	6	16.48681055
3	C	0	6	21.31628031
4	C	0	6	19.98401279
5	C	0	6	51.95843325
6	O	0	6	40.76738609
7	O	0	6	53.95683453
8	O	0	6	38.36930456
9	O	0	6	47.9616307
10	O	0	6	71.94244604
11	Z	0	6	158.2733813
12	Z	0	6	50.14170482
13	Z	0	6	79.93605116
14	Z	0	6	112.7098321
15	Z	0	6	74.34052758
16	C	N	6	41.96642686
17	C	N	6	17.98561151
18	C	N	6	53.95683453
19	C	N	6	73.27471356
20	C	N	6	275.7793765
21	O	N	6	74.34052758
22	O	N	6	57.55395683
23	O	N	6	62.61657341
24	O	N	6	21.31628031
25	O	N	6	30.83247688
26	Z	N	6	181.5690305
27	Z	N	6	231.8145484
28	Z	N	6	167.8657074
29	Z	N	6	207.833733
30	Z	N	6	347.7218225
1	C	0	7	30.37569944
2	C	0	7	83.93285372
3	C	0	7	29.11956149
4	C	0	7	47.9616307
5	C	0	7	87.92965627
6	O	0	7	31.97442046
7	O	0	7	91.12709832
8	O	0	7	123.3299075
9	O	0	7	41.10996917
10	O	0	7	223.8209432
11	Z	0	7	495.6035172
12	Z	0	7	115.9072742
13	Z	0	7	179.8561151
14	Z	0	7	171.86251
15	Z	0	7	175.8593125
16	C	N	7	105.5155875
17	C	N	7	86.33093525
18	C	N	7	199.8401279
19	C	N	7	175.059952
20	C	N	7	211.8305356
21	O	N	7	296.7625899
22	O	N	7	185.3063004
23	O	N	7	434.6522782
24	O	N	7	290.7673861
25	O	N	7	178.1431997
26	Z	N	7	661.8705036
27	Z	N	7	463.6290967
28	Z	N	7	335.7314149
29	Z	N	7	483.6131095
30	Z	N	7	467.6258993
1	C	0	8	15.58752998
2	C	0	8	35.97122302
3	C	0	8	22.78177458
4	C	0	8	31.97442046
5	C	0	8	139.088729
6	O	0	8	43.96482814
7	O	0	8	86.33093525
8	O	0	8	139.8880895
9	O	0	8	19.18465228
10	O	0	8	95.92326139
11	Z	0	8	347.7218225
12	Z	0	8	55.1558753
13	Z	0	8	131.8944844
14	Z	0	8	153.4772182
15	Z	0	8	159.8721023
16	C	N	8	17.98561151
17	C	N	8	113.0524152
18	C	N	8	169.8641087
19	C	N	8	184.6522782
20	C	N	8	38.15129714
21	O	N	8	331.7346123
22	O	N	8	179.8561151
23	O	N	8	160.3717026
24	O	N	8	125.8992806
25	O	N	8	152.8776978
