id	snails	nutrient	time	peryphyton_growth
1	H	without	1	10.39168665
2	H	without	1	4.79616307
3	H	without	1	8.792965627
4	H	without	1	10.39168665
5	H	without	1	3.197442046
6	O	without	1	11.19104716
7	O	without	1	11.99040767
8	O	without	1	12.78976819
9	O	without	1	5.595523581
10	O	without	1	8.792965627
11	H	with	1	11.19104716
12	H	with	1	20.7833733
13	H	with	1	16.78657074
14	H	with	1	14.38848921
15	H	with	1	10.39168665
16	O	with	1	15.18784972
17	O	with	1	15.98721023
18	O	with	1	15.18784972
19	O	with	1	23.18145484
20	O	with	1	14.38848921
1	H	without	3	27.40664611
2	H	without	3	32.18477849
3	H	without	3	17.38609113
4	H	without	3	44.69151951
5	H	without	3	125.8992806
6	O	without	3	86.93045564
7	O	without	3	68.67233486
8	O	without	3	64.44844125
9	O	without	3	119.9040767
10	O	without	3	147.4820144
11	H	with	3	25.82549345
12	H	with	3	20.89756766
13	H	with	3	16.18705036
14	H	with	3	11.99040767
15	H	with	3	22.38209432
16	O	with	3	56.75459632
17	O	with	3	64.31218661
18	O	with	3	75.21255723
19	O	with	3	52.45284292
20	O	with	3	13.53203152
1	H	without	5	7.494004796
2	H	without	5	58.35331735
3	H	without	5	1.844678104
4	H	without	5	91.92645883
5	H	without	5	55.34034311
6	O	without	5	81.53477218
7	O	without	5	24.78017586
8	O	without	5	32.37410072
9	O	without	5	52.75779376
10	O	without	5	57.55395683
11	H	with	5	103.117506
12	H	with	5	27.97761791
13	H	with	5	35.17186251
14	H	with	5	43.16546763
15	H	with	5	35.97122302
16	O	with	5	95.92326139
17	O	with	5	106.7146283
18	O	with	5	152.2781775
19	O	with	5	130.6954436
20	O	with	5	191.8465228
1	H	without	7	31.97442046
2	H	without	7	91.12709832
3	H	without	7	123.3299075
4	H	without	7	41.10996917
5	H	without	7	223.8209432
6	O	without	7	495.6035172
7	O	without	7	115.9072742
8	O	without	7	179.8561151
9	O	without	7	171.86251
10	O	without	7	175.8593125
11	H	with	7	296.7625899
12	H	with	7	185.3063004
13	H	with	7	434.6522782
14	H	with	7	290.7673861
15	H	with	7	178.1431997
16	O	with	7	661.8705036
17	O	with	7	463.6290967
18	O	with	7	335.7314149
19	O	with	7	483.6131095
20	O	with	7	467.6258993
1	H	without	9	57.55395683
2	H	without	9	91.92645883
3	H	without	9	53.95683453
4	H	without	9	15.58752998
5	H	without	9	77.93764988
6	O	without	9	257.793765
7	O	without	9	83.93285372
8	O	without	9	152.8776978
9	O	without	9	194.2446043
10	O	without	9	253.7969624
11	H	with	9	44.36450839
12	H	with	9	32.37410072
13	H	with	9	16.78657074
14	H	with	9	134.8920863
15	H	with	9	198.3413269
16	O	with	9	263.7889688
17	O	with	9	200.8393285
18	O	with	9	173.8609113
19	O	with	9	451.4388489
20	O	with	9	522.7817746
1	H	without	11	67.51242363
2	H	without	11	80.117724
3	H	without	11	58.9807874
4	H	without	11	61.36116748
5	H	without	11	89.92805755
6	O	without	11	305.7553957
7	O	without	11	203.3443952
8	O	without	11	222.0042148
9	O	without	11	217.0263789
10	O	without	11	252.1982414
11	H	with	11	251.7985612
12	H	with	11	163.3359979
13	H	with	11	101.6076028
14	H	with	11	83.93285372
15	H	with	11	195.7434053
16	O	with	11	759.392486
17	O	with	11	680.4556355
18	O	with	11	263.7889688
19	O	with	11	550.5595524
20	O	with	11	779.3764988
1	H	without	13	269.7841727
2	H	without	13	135.891287
3	H	without	13	95.92326139
4	H	without	13	100.7194245
5	H	without	13	203.8369305
6	O	without	13	359.7122302
7	O	without	13	133.6073998
8	O	without	13	175.8593125
9	O	without	13	243.804956
10	O	without	13	177.4580336
11	H	with	13	287.7697842
12	H	with	13	299.7601918
13	H	with	13	275.7793765
14	H	with	13	137.8896882
15	H	with	13	127.0983213
16	O	with	13	845.323741
17	O	with	13	767.3860911
18	O	with	13	260.7913669
19	O	with	13	407.6738609
20	O	with	13	1031.17
1	H	without	15	87.52997602
2	H	without	15	126.7557383
3	H	without	15	119.9040767
4	H	without	15	54.62296829
5	H	without	15	143.8848921
6	O	without	15	209.8321343
7	O	without	15	151.8784972
8	O	without	15	175.8593125
9	O	without	15	213.8289369
10	O	without	15	177.8577138
11	H	with	15	317.7458034
12	H	with	15	272.7817746
13	H	with	15	284.7721823
14	H	with	15	143.8848921
15	H	with	15	227.8177458
16	O	with	15	944.2446043
17	O	with	15	833.3333333
18	O	with	15	597.5219824
19	O	with	15	419.6642686
20	O	with	15	1071.143086
1	H	without	17	175.059952
2	H	without	17	316.5467626
3	H	without	17	182.2541966
4	H	without	17	347.7218225
5	H	without	17	251.7985612
6	O	without	17	432.1542766
7	O	without	17	230.2158273
8	O	without	17	510.7913669
9	O	without	17	306.9544365
10	O	without	17	158.2733813
11	H	with	17	240.2078337
12	H	with	17	173.8609113
13	H	with	17	261.3908873
14	H	with	17	223.0215827
15	H	with	17	184.6522782
16	O	with	17	1316.546763
17	O	with	17	676.2589928
18	O	with	17	781.7745803
19	O	with	17	366.9064748
20	O	with	17	1472.422062
